Designator,Mid X,Mid Y,Layer,Rotation
C1,132.000000,-80.500000,Bottom,180.000000
C4,138.900000,-80.500000,Bottom,180.000000
C6,113.000000,-97.000000,Bottom,0.000000
C10,149.500000,-79.500000,Bottom,0.000000
C11,155.000000,-80.500000,Bottom,0.000000
C12,132.000000,-82.800000,Bottom,180.000000
C13,134.300000,-82.800000,Bottom,180.000000
C14,118.000000,-97.000000,Bottom,0.000000
D1,111.000000,-90.000000,Bottom,180.000000
D2,148.000000,-90.000000,Bottom,180.000000
D3,124.000000,-90.000000,Bottom,180.000000
D4,133.000000,-90.000000,Bottom,180.000000
J1,108.370000,-74.770000,Bottom,-90.000000
J2,120.000000,-81.000000,Bottom,180.000000
R1,138.900000,-82.800000,Bottom,180.000000
R2,141.200000,-82.800000,Bottom,180.000000
R3,143.500000,-82.800000,Bottom,180.000000
R4,145.800000,-82.800000,Bottom,180.000000
R5,148.100000,-82.800000,Bottom,180.000000
R6,150.400000,-82.800000,Bottom,180.000000
R7,146.000000,-79.500000,Bottom,180.000000
R8,155.000000,-82.800000,Bottom,180.000000
R9,107.700000,-86.500000,Bottom,180.000000
R10,110.100000,-86.500000,Bottom,180.000000
R11,112.500000,-86.500000,Bottom,180.000000
R12,124.000000,-86.500000,Bottom,180.000000
R13,126.300000,-86.500000,Bottom,180.000000
R14,128.600000,-86.500000,Bottom,180.000000
R15,130.900000,-86.500000,Bottom,180.000000
R16,133.200000,-86.500000,Bottom,180.000000
R17,135.500000,-86.500000,Bottom,180.000000
R18,146.000000,-86.500000,Bottom,180.000000
R23,121.000000,-97.000000,Bottom,180.000000
R24,123.400000,-97.000000,Bottom,0.000000
R25,133.000000,-97.000000,Bottom,0.000000
U1,141.000000,-88.000000,Bottom,180.000000
U6,118.000000,-88.000000,Bottom,0.000000
C2,120.000000,-83.000000,Top,90.000000
C3,132.000000,-83.000000,Top,90.000000
C5,145.000000,-83.000000,Top,90.000000
C7,147.000000,-83.000000,Top,90.000000
C8,122.000000,-83.000000,Top,90.000000
C9,135.000000,-83.000000,Top,90.000000
J3,115.000000,-93.400000,Top,0.000000
J4,152.000000,-93.400000,Top,0.000000
J5,127.000000,-93.400000,Top,0.000000
J6,140.000000,-93.400000,Top,0.000000
LED5,109.000000,-92.000000,Top,0.000000
U2,115.000000,-83.200000,Top,0.000000
U3,152.000000,-83.200000,Top,0.000000
U4,127.000000,-83.200000,Top,0.000000
U5,140.000000,-83.200000,Top,0.000000
